organization_name,city,state,FY12,FY13,institution_type,direct_cost,indirect_cost,funding,calculated_indirect_cost
IIT RESEARCH INSTITUTE,CHICAGO,ILLINOIS,51,52,NP res inst,195050,243798,2176134,125
LA JOLLA INFECTIOUS DISEASE INSTITUTE,SAN DIEGO,CALIFORNIA,97,97,NP res inst,218875,207931,426806,95
VGTI FLORIDA,PORT SAINT LUCIE,FLORIDA,89,89,NP res inst,738320,657105,1395425,89
SCHEPENS EYE RESEARCH INSTITUTE,BOSTON,MASSACHUSETTS,97,97,NP res inst,5387474,4515235,9879553,83.8
MAX PLANCK FLORIDA CORPORATION,JUPITER,FLORIDA,90,90,NP res inst,1431035,1190858,2621893,83.2
CTR FOR MOLECULAR MEDICINE/IMMUNOLOGY,BELLEVILLE,NEW JERSEY,,not available,NP res inst,137907,110327,248234,80
ALLEN INSTITUTE FOR BRAIN SCIENCE,SEATTLE,WASHINGTON,78.3,75.5,NP res inst,849567,674562,1524129,79.4
FOX CHASE CANCER CENTER,PHILADELPHIA,PENNSYLVANIA,77.5,78.5,NP res inst,141750,111274,253024,78.5
SANFORD-BURNHAM MEDICAL RESEARCH INSTIT,LA JOLLA,CALIFORNIA,94.2,95,NP res inst,30158529,23429736,53588265,77.7
JOHN WAYNE CANCER INSTITUTE,SANTA MONICA,CALIFORNIA,72,72,NP res inst,4000119,3092878,6914603,77.3
PARKINSON'S INSTITUTE,SUNNYVALE,CALIFORNIA,63.8,63.8,NP res inst,45710,35105,80815,76.8
HOUSE RESEARCH INSTITUTE,LOS ANGELES,CALIFORNIA,78.5,78.5,NP res inst,2415742,1841488,4257230,76.2
PUGET SOUND BLOOD CENTER,SEATTLE,WASHINGTON,87,87,NP res inst,1540308,1168967,2709275,75.9
HACKENSACK UNIVERSITY MEDICAL CENTER,HACKENSACK,NEW JERSEY,76.1,76.1,Hosp,446628,336478,783106,75.3
"MASONIC MEDICAL RESEARCH LABORATORY, INC",UTICA,NEW YORK,75,75,NP res inst,238000,178500,416500,75
PACIFIC NORTHWEST RESEARCH INSTITUTE,SEATTLE,WASHINGTON,84.5,84.5,NP res inst,3959997,2952203,6912200,74.6
SCRIPPS FLORIDA,JUPITER,FLORIDA,98,89,NP res inst,17271151,12839432,30110583,74.3
WHITEHEAD INSTITUTE FOR BIOMEDICAL RES,CAMBRIDGE,MASSACHUSETTS,95,95,NP res inst,11088431,7901867,18968441,71.3
COLD SPRING HARBOR LABORATORY,COLD SPRING HARBOR,NEW YORK,87,89,NP res inst,18515626,13185734,31532003,71.2
BOSTON BIOMEDICAL RESEARCH INSTITUTE*(funding figures from 2012),WATERTOWN,MASSACHUSETTS,103,103,NP res inst,3421738,2381031,5802769,69.6
J. DAVID GLADSTONE INSTITUTES,SAN FRANCISCO,CALIFORNIA,91,91,NP res inst,15878370,10699123,26575146,67.4
INSTITUTE FOR SYSTEMS BIOLOGY,SEATTLE,WASHINGTON,84,83,NP res inst,4038551,2671356,6475171,66.1
REGENERATIVE RESEARCH FOUNDATION,Rensselaer,NEW YORK,80,85,NP res inst,1070986,700459,1771445,65.4
SALK INSTITUTE FOR BIOLOGICAL STUDIES,LA JOLLA,CALIFORNIA,92,94,NP res inst,25029864,16097663,41115822,64.3
TORREY PINES INST FOR MOLECULAR STUDIES,Port St. Lucie,FLORIDA,73,73,NP res inst,3582627,2277926,5860553,63.6
VAN ANDEL RESEARCH INSTITUTE,GRAND RAPIDS,MICHIGAN,90,90,NP res inst,2001291,1257989,3259280,62.9
LA JOLLA INST FOR ALLERGY & IMMUNOLGY,LA JOLLA,CALIFORNIA,74,77,NP res inst,13790624,8635621,26164807,62.6
TEXAS BIOMEDICAL RESEARCH INSTITUTE,SAN ANTONIO,TEXAS,79.1,79.1,NP res inst,15437784,9670733,25108517,62.6
YORK COLLEGE,JAMAICA,NEW YORK,70,70,Higher Ed,218302,135797,354099,62.2
BUCK INSTITUTE FOR RESEARCH ON AGING,NOVATO,CALIFORNIA,94,94,NP res inst,6463933,4009710,10473643,62
"TRUDEAU INSTITUTE, INC.",SARANAC LAKE,NEW YORK,88,95,NP res inst,499634,309820,809454,62
SLOAN-KETTERING INSTITUTE FOR CANCER RES (Negotiated rate from FY 2012),NEW YORK,NEW YORK,71.3,71.3,NP res inst,68426399,42347926,111289141,61.9
JACKSON LABORATORY,BAR HARBOR,MAINE,75,75,NP res inst,31799365,19626219,50850165,61.7
CHILDREN'S HOSPITAL (NEW ORLEANS),NEW ORLEANS,LOUISIANA,61.5,61.5,Hosp,50728,31198,81926,61.5
LA JOLLA BIOENGINEERING INSTITUTE,SAN DIEGO,CALIFORNIA,85,100,NP res inst,1063938,650612,1714550,61.2
FENWAY COMMUNITY HEALTH CENTER (Negotiated rate from FY 2012),BOSTON,MASSACHUSETTS,69.2,69.2,NP res inst,2253810,1376146,2602843,61.1
SAGE BIONETWORKS,SEATTLE,WASHINGTON,61,61,NP res inst,1325574,798935,2124509,60.3
GENETIC INFORMATION RESEARCH INSTITUTE,MOUNTAIN VIEW,CALIFORNIA,65,65,NP res inst,327384,195260,522644,59.6
ERNEST GALLO CLINIC AND RESEARCH CENTER,EMERYVILLE,CALIFORNIA,71.9,71.9,NP res inst,1260520,750363,2010883,59.5
SEATTLE BIOMEDICAL RESEARCH INSTITUTE,SEATTLE,WASHINGTON,72.5,84,NP res inst,10129813,5960684,21198581,58.8
ROGER WILLIAMS HOSPITAL,PROVIDENCE,RHODE ISLAND,71,70.3,Hosp,1109450,652349,1761799,58.8
STOWERS INSTITUTE FOR MEDICAL RESEARCH,KANSAS CITY,MISSOURI,62,65,NP res inst,2726281,1588847,4315128,58.3
HOSPITAL FOR SPECIAL SURGERY,NEW YORK,NEW YORK,75.5,75.5,Hosp,4283766,2488686,6672437,58.1
NEW YORK ACADEMY OF MEDICINE,NEW YORK,NEW YORK,62,62,NP res inst,395550,229328,624878,58
VILLANOVA UNIVERSITY,VILLANOVA UNIVERSITY,PENNSYLVANIA,75.4,75.4,Higher Ed,297267,172113,469380,57.9
SMITH-KETTLEWELL EYE RESEARCH INSTITUTE,SAN FRANCISCO,CALIFORNIA,66,78,NP res inst,1515000,872278,2387278,57.6
BERNARD M. BARUCH COLLEGE,NEW YORK,NEW YORK,69,69,Higher Ed,47450,27305,74755,57.5
ST. JUDE CHILDREN'S RESEARCH HOSPITAL,MEMPHIS,TENNESSEE,75,75,Hosp,31649076,18083936,64634574,57.1
HERBERT H. LEHMAN COLLEGE,NEW YORK,NEW YORK,63,63,Higher Ed,443277,250061,693338,56.4
"ROSKAMP INSTITUTE, INC.",SARASOTA,FLORIDA,59,59,NP res inst,417927,231950,649877,55.5
WINIFRED MASTERSON BURKE MED RES INST,WHITE PLAINS,NEW YORK,,not available,NP res inst,3639210,2006212,5645422,55.1
PHOENIX CHILDREN'S HOSPITAL,PHOENIX,ARIZONA,55,29.8,Hosp,167408,92074,259482,55
FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH,MANHASSET,NEW YORK,66,68.5,NP res inst,13065744,7165538,20231124,54.8
ALBANY COLLEGE OF PHARMACY,ALBANY,NEW YORK,55,55,Higher Ed,957560,522855,1480415,54.6
NATIONAL DISEASE RESEARCH INTERCHANGE,PHILADELPHIA,PENNSYLVANIA,65,65,NP res inst,889498,483638,1373136,54.4
UNIVERSITY OF MASSACHUSETTS DARTMOUTH,NORTH DARTMOUTH,MASSACHUSETTS,56,56,Higher Ed,50000,27166,77166,54.3
SCRIPPS RESEARCH INSTITUTE,LA JOLLA,CALIFORNIA,89.5,89.5,NP res inst,131563460,69776517,198275639,53
TRANSLATIONAL GENOMICS RESEARCH INST,PHOENIX,ARIZONA,86,86,NP res inst,3060379,1599524,4650324,52.3
OKLAHOMA MEDICAL RESEARCH FOUNDATION,OKLAHOMA CITY,OKLAHOMA,61.5,68,NP res inst,16503646,8622905,25126551,52.2
WEIS CENTER FOR RESEARCH-GEISINGER CLINC,DANVILLE,PENNSYLVANIA,63.5,63.5,NP res inst,2568408,1336675,3905083,52
HAUPTMAN-WOODWARD MEDICAL RESEARCH INST,BUFFALO,NEW YORK,94,94,NP res inst,1707492,887026,2594518,51.9
EMANUEL HOSPITAL AND HEALTH CENTER,PORTLAND,OREGON,60,60,Hosp,1772264,918033,2690297,51.8
H. LEE MOFFITT CANCER CTR & RES INST,TAMPA,FLORIDA,67.5,68.5,NP res inst,20961109,10809981,31572367,51.6
NATHAN S. KLINE INSTITUTE FOR PSYCH RES,ORANGEBURG,NEW YORK,61.2,61.2,NP res inst,5451226,2815321,8266547,51.6
HUNTINGTON MEDICAL RESEARCH INSTITUTES,PASADENA,CALIFORNIA,49.3,49.3,NP res inst,648448,334785,983233,51.6
INFECTIOUS DISEASE RESEARCH INSTITUTE,SEATTLE,WASHINGTON,55,55,NP res inst,1101786,564377,2163163,51.2
"J. CRAIG VENTER INSTITUTE, INC.",ROCKVILLE,MARYLAND,88,88,NP res inst,1906653,972304,13879971,51
"GLOBAL VACCINES, INC.",RESEARCH TRIANGLE PARK,NORTH CAROLINA,50,50,NP res inst,352903,179981,532884,51
TEXAS SOUTHERN UNIVERSITY,HOUSTON,TEXAS,51,51,Higher Ed,147375,75161,222536,51
WELLESLEY COLLEGE,WELLESLEY,MASSACHUSETTS,79,75.3,Higher Ed,838707,427037,1265744,50.9
ALBANY MEDICAL COLLEGE,ALBANY,NEW YORK,58,58,Higher Ed,6276543,3185602,9438615,50.8
MERCER UNIVERSITY MACON,MACON,GEORGIA,62,62,Higher Ed,762915,387876,1150791,50.8
CHILDREN'S HOSPITAL OF ORANGE COUNTY,ORANGE,CALIFORNIA,70,70,Hosp,361570,183548,545118,50.8
